"","l_ipn","date","sumtraffic"
"171",2,2006-07-23,4524
"172",2,2006-07-24,1859
"173",2,2006-07-25,1430
"174",2,2006-07-26,2414
"175",2,2006-07-27,2053
"176",2,2006-07-28,1587
"177",2,2006-07-29,717
"178",2,2006-07-30,622
"179",2,2006-07-31,876
"180",2,2006-08-01,754
"181",2,2006-08-02,740
"182",2,2006-08-03,540
"183",2,2006-08-04,4309
"184",2,2006-08-05,424
"185",2,2006-08-06,1531
"186",2,2006-08-07,484
"187",2,2006-08-08,2108
"188",2,2006-08-09,664
"189",2,2006-08-10,816
"190",2,2006-08-11,705
"191",2,2006-08-12,659
"192",2,2006-08-13,609
"193",2,2006-08-14,734
"194",2,2006-08-15,995
"195",2,2006-08-16,1317
"196",2,2006-08-17,6062
"197",2,2006-08-18,984
"198",2,2006-08-19,1085
"199",2,2006-08-20,752
"200",2,2006-08-21,3912
"201",2,2006-08-22,3885
"202",2,2006-08-23,1327
"203",2,2006-08-24,1355
"204",2,2006-08-25,4463
"205",2,2006-08-26,1173
"206",2,2006-08-27,1088
"207",2,2006-08-28,1883
"208",2,2006-08-29,3885
"209",2,2006-08-30,2004
"210",2,2006-08-31,2591
"211",2,2006-09-01,2941
"212",2,2006-09-02,1153
"213",2,2006-09-03,1150
"214",2,2006-09-04,694
"215",2,2006-09-05,1222
"216",2,2006-09-06,1127
"217",2,2006-09-07,2748
"218",2,2006-09-08,1299
"219",2,2006-09-09,879
"220",2,2006-09-10,1574
"221",2,2006-09-11,1248
"222",2,2006-09-12,1469
"223",2,2006-09-13,4465
"224",2,2006-09-14,4312
"225",2,2006-09-15,1166
"226",2,2006-09-16,5122
"227",2,2006-09-17,1176
"228",2,2006-09-18,1228
"229",2,2006-09-19,2718
"230",2,2006-09-20,13421
"231",2,2006-09-21,5920
"232",2,2006-09-22,1486
"233",2,2006-09-23,3184
"234",2,2006-09-24,983
"235",2,2006-09-25,993
"236",2,2006-09-26,5574
"237",2,2006-09-27,1649
"238",2,2006-09-28,4506
"239",2,2006-09-29,4405
"240",2,2006-09-30,5560
"241",3,2006-07-01,22
"242",3,2006-07-02,30
"243",3,2006-07-03,25
"244",3,2006-07-04,47
"245",3,2006-07-05,87
"246",3,2006-07-06,18
"247",3,2006-07-07,51
"248",3,2006-07-08,35
"249",3,2006-07-09,23
"250",3,2006-07-10,40
"251",3,2006-07-11,102
"252",3,2006-07-12,13
"253",3,2006-07-13,65
"254",3,2006-07-14,15
"255",3,2006-07-15,297
"256",3,2006-07-16,23
"257",3,2006-07-17,26
"258",3,2006-07-18,43
"259",3,2006-07-19,28
"260",3,2006-07-20,17
"261",3,2006-07-21,74
"262",3,2006-07-22,74
"263",3,2006-07-23,49
"264",3,2006-07-24,45
"265",3,2006-07-25,64
"266",3,2006-07-26,40
"267",3,2006-07-27,38
"268",3,2006-07-28,47
"269",3,2006-07-29,39
"270",3,2006-07-30,71
"271",3,2006-07-31,58
"272",3,2006-08-01,39
"273",3,2006-08-02,49
"274",3,2006-08-03,25
"275",3,2006-08-04,39
"276",3,2006-08-05,55
"277",3,2006-08-06,37
"278",3,2006-08-07,47
"279",3,2006-08-08,18
"280",3,2006-08-09,19
"281",3,2006-08-10,70
"282",3,2006-08-11,14
"283",3,2006-08-12,69
"284",3,2006-08-13,37
"285",3,2006-08-14,27
"286",3,2006-08-15,47
"287",3,2006-08-16,49
"288",3,2006-08-17,14
"289",3,2006-08-18,25
"290",3,2006-08-19,350
"291",3,2006-08-20,34
"292",3,2006-08-21,26
"293",3,2006-08-22,98
"294",3,2006-08-23,50
"295",3,2006-08-24,20
"296",3,2006-08-25,54
"297",3,2006-08-26,97
"298",3,2006-08-27,200
"299",3,2006-08-28,20
"300",3,2006-08-29,33
"301",3,2006-08-30,9
"302",3,2006-08-31,63
"303",3,2006-09-01,14
"304",3,2006-09-02,33
"305",3,2006-09-03,54
"306",3,2006-09-04,33
"307",3,2006-09-05,36
"308",3,2006-09-06,43
"309",3,2006-09-07,68
"310",3,2006-09-08,68
"311",3,2006-09-09,66
"312",3,2006-09-10,118
"313",3,2006-09-11,35
"314",3,2006-09-12,35
"315",3,2006-09-13,22
"316",3,2006-09-14,29
"317",3,2006-09-15,33
"318",3,2006-09-16,39
"319",3,2006-09-17,43
"320",3,2006-09-18,21
"321",3,2006-09-19,39
"322",3,2006-09-20,63
"323",3,2006-09-21,38
"324",3,2006-09-22,52
"325",3,2006-09-23,48
"326",3,2006-09-24,33
"327",3,2006-09-25,28
"328",3,2006-09-26,251
"329",3,2006-09-27,222
"330",4,2006-07-01,184
"331",4,2006-07-02,941
"332",4,2006-07-03,245
"333",4,2006-07-04,187
"334",4,2006-07-05,5643
"335",4,2006-07-06,327
"336",4,2006-07-07,315
"337",4,2006-07-08,327
"338",4,2006-07-09,148
"339",4,2006-07-10,254
"340",4,2006-07-11,158
"341",4,2006-07-12,270
"342",4,2006-07-13,128
"343",4,2006-07-14,126
"344",4,2006-07-15,118
"345",4,2006-07-16,221
"346",4,2006-07-17,1966
"347",4,2006-07-18,5147
"348",4,2006-07-19,2512
"349",4,2006-07-20,620
"350",4,2006-07-21,1429
"351",4,2006-07-22,194
"352",4,2006-07-23,3846
"353",4,2006-07-24,1233
"354",4,2006-07-25,391
"355",4,2006-07-26,435
"356",4,2006-07-27,511
"357",4,2006-07-28,6265
"358",4,2006-07-29,138
"359",4,2006-07-30,582
"360",4,2006-07-31,335
"361",4,2006-08-01,1570
"362",4,2006-08-02,650
"363",4,2006-08-03,91
"364",4,2006-08-04,3369
"365",4,2006-08-05,141
"366",4,2006-08-06,1456
"367",4,2006-08-07,188
"368",4,2006-08-08,1408
"369",4,2006-08-09,383
"370",4,2006-08-10,773
"371",4,2006-08-11,1551
"372",4,2006-08-12,1301
"373",4,2006-08-13,249
"374",4,2006-08-14,469
"375",4,2006-08-15,4194
"376",4,2006-08-16,644
"377",4,2006-08-17,7593
"378",4,2006-08-18,456
"379",4,2006-08-19,516
"380",4,2006-08-20,411
"381",4,2006-08-21,5246
"382",4,2006-08-22,4005
"383",4,2006-08-23,429
"384",4,2006-08-24,144
"385",4,2006-08-25,3175
"386",4,2006-08-26,5310
"387",4,2006-08-27,837
"388",4,2006-08-28,1006
"389",4,2006-08-29,590
"390",4,2006-08-30,1432
"391",4,2006-08-31,840
"392",4,2006-09-01,1983
"393",4,2006-09-02,182
"394",4,2006-09-03,990
"395",4,2006-09-04,256
"396",4,2006-09-05,1141
"397",4,2006-09-06,729
"398",4,2006-09-07,805
"399",4,2006-09-08,334
"400",4,2006-09-09,896
"401",4,2006-09-10,266
"402",4,2006-09-11,395
"403",4,2006-09-12,2275
"404",4,2006-09-13,3530
"405",4,2006-09-14,445
"406",4,2006-09-15,229
"407",4,2006-09-16,4539
"408",4,2006-09-17,275140
"409",4,2006-09-18,785297
"410",4,2006-09-25,387
"411",4,2006-09-26,1486
"412",4,2006-09-27,537
"413",4,2006-09-28,1668
"414",4,2006-09-29,3115
"415",4,2006-09-30,3169
"416",5,2006-07-01,44
"417",5,2006-07-02,60
"418",5,2006-07-03,71
"419",5,2006-07-04,64
"420",5,2006-07-05,129
"421",5,2006-07-06,34
"422",5,2006-07-07,57
"423",5,2006-07-08,51
"424",5,2006-07-09,43
"425",5,2006-07-10,56
"426",5,2006-07-11,157
"427",5,2006-07-12,27
"428",5,2006-07-13,41
"429",5,2006-07-14,30
"430",5,2006-07-15,346
"431",5,2006-07-16,28
"432",5,2006-07-17,33
"433",5,2006-07-18,31
"434",5,2006-07-19,23
"435",5,2006-07-20,25
"436",5,2006-07-21,94
"437",5,2006-07-22,161
"438",5,2006-07-23,862
"439",5,2006-07-24,69
"440",5,2006-07-25,88
"441",5,2006-07-26,57
"442",5,2006-07-27,56
"443",5,2006-07-28,65
"444",5,2006-07-29,56
"445",5,2006-07-30,71
"446",5,2006-07-31,80
"447",5,2006-08-01,57
"448",5,2006-08-02,60
"449",5,2006-08-03,52
"450",5,2006-08-04,55
"451",5,2006-08-05,86
"452",5,2006-08-06,55
"453",5,2006-08-07,71
"454",5,2006-08-08,47
"455",5,2006-08-09,42
"456",5,2006-08-10,83
"457",5,2006-08-11,39
"458",5,2006-08-12,99
"459",5,2006-08-13,60
"460",5,2006-08-14,197
"461",5,2006-08-15,56
"462",5,2006-08-16,67
"463",5,2006-08-17,38
"464",5,2006-08-18,55
"465",5,2006-08-19,366
"466",5,2006-08-20,46
"467",5,2006-08-21,45
"468",5,2006-08-22,106
"469",5,2006-08-23,80
"470",5,2006-08-24,36
"471",5,2006-08-25,43
"472",5,2006-08-26,127
"473",5,2006-08-27,251
"474",5,2006-08-28,70
"475",5,2006-08-29,56
"476",5,2006-08-30,32
"477",5,2006-08-31,87
"478",5,2006-09-01,40
"479",5,2006-09-02,44
"480",5,2006-09-03,57
"481",5,2006-09-04,61
"482",5,2006-09-05,5
"483",6,2006-07-01,63
"484",6,2006-07-02,27
"485",6,2006-07-03,35
"486",6,2006-07-04,69
"487",6,2006-07-05,113
"488",6,2006-07-06,23
"489",6,2006-07-07,37
"490",6,2006-07-08,40
"491",6,2006-07-09,33
"492",6,2006-07-10,41
"493",6,2006-07-11,134
"494",6,2006-07-12,23
"495",6,2006-07-13,54
"496",6,2006-07-14,27
"497",6,2006-07-15,367
"498",6,2006-07-16,31
"499",6,2006-07-17,34
"500",6,2006-07-18,44
"501",6,2006-07-19,25
"502",6,2006-07-20,20
"503",6,2006-07-21,117
"504",6,2006-07-22,60
"505",6,2006-07-23,59
"506",6,2006-07-24,47
"507",6,2006-07-25,77
"508",6,2006-07-26,95
"509",6,2006-07-27,42
"510",6,2006-07-28,50
"511",6,2006-07-29,136
"512",6,2006-07-30,74
"513",6,2006-07-31,73
"514",6,2006-08-01,32
"515",6,2006-08-02,43
"516",6,2006-08-03,49
"517",6,2006-08-04,45
"518",6,2006-08-05,60
"519",6,2006-08-06,49
"520",6,2006-08-07,54
"521",6,2006-08-08,24
"522",6,2006-08-09,30
"523",6,2006-08-10,65
"524",6,2006-08-11,16
"525",6,2006-08-12,70
"526",6,2006-08-13,30
"527",6,2006-08-14,40
"528",6,2006-08-15,41
"529",6,2006-08-16,54
"530",6,2006-08-17,17
"531",6,2006-08-18,39
"532",6,2006-08-19,563
"533",6,2006-08-20,39
"534",6,2006-08-21,24
"535",6,2006-08-22,120
"536",6,2006-08-23,58
"537",6,2006-08-24,102
"538",6,2006-08-25,36
"539",6,2006-08-26,147
"540",6,2006-08-27,291
"541",6,2006-08-28,228
"542",6,2006-08-29,92
"543",6,2006-08-30,18
"544",6,2006-08-31,115
"545",6,2006-09-01,31
"546",6,2006-09-02,34
"547",6,2006-09-03,60
"548",6,2006-09-04,53
"549",6,2006-09-05,47
"550",6,2006-09-06,70
"551",6,2006-09-07,85
"552",6,2006-09-08,85
"553",6,2006-09-09,35
"554",6,2006-09-10,160
"555",6,2006-09-11,47
"556",6,2006-09-12,43
"557",6,2006-09-13,46
"558",6,2006-09-14,43
"559",6,2006-09-15,50
"560",6,2006-09-16,36
"561",6,2006-09-17,69
"562",6,2006-09-18,30
"563",6,2006-09-19,38
"564",6,2006-09-20,68
"565",6,2006-09-21,51
"566",6,2006-09-22,69
"567",6,2006-09-23,44
"568",6,2006-09-24,42
"569",6,2006-09-25,548
"570",6,2006-09-26,121
"571",6,2006-09-27,8
"572",7,2006-07-01,411
"573",7,2006-07-02,68
"574",7,2006-07-03,474
"575",7,2006-07-04,200
"576",7,2006-07-05,208
"577",7,2006-07-06,489
"578",7,2006-07-07,255
"579",7,2006-07-08,729
"580",7,2006-07-09,346
"581",7,2006-07-10,164
"582",7,2006-07-11,219
"583",7,2006-07-12,163
"584",7,2006-07-13,424
"585",7,2006-07-14,865
"586",7,2006-07-15,1116
"587",7,2006-07-16,1005
"588",7,2006-07-17,722
"589",7,2006-07-18,449
"590",7,2006-07-19,309
"591",7,2006-07-20,544
"592",7,2006-07-21,64
"593",7,2006-07-22,55
"594",7,2006-07-23,66
"595",7,2006-07-24,65
"596",7,2006-07-25,192
"597",7,2006-07-26,918
"598",7,2006-07-27,794
"599",7,2006-07-28,629
"600",7,2006-07-29,75
"601",7,2006-07-30,118
"602",7,2006-07-31,236
"603",7,2006-08-01,339
"604",7,2006-08-02,1022
"605",7,2006-08-03,613
"606",7,2006-08-04,325
"607",7,2006-08-05,65
"608",7,2006-08-06,66
"609",7,2006-08-07,126
"610",7,2006-08-08,141
"611",7,2006-08-09,113
"612",7,2006-08-10,209
"613",7,2006-08-11,123
"614",7,2006-08-12,77
"615",7,2006-08-13,236
"616",7,2006-08-14,436
"617",7,2006-08-15,158
"618",7,2006-08-16,408
"619",7,2006-08-17,138
"620",7,2006-08-18,354
"621",7,2006-08-19,341
"622",7,2006-08-20,290
"623",7,2006-08-21,230
"624",7,2006-08-22,550
"625",7,2006-08-23,536
"626",7,2006-08-24,129
"627",7,2006-08-25,379
"628",7,2006-08-26,285
"629",7,2006-08-27,309
"630",7,2006-08-28,475
"631",7,2006-08-29,348
"632",7,2006-08-30,627
"633",7,2006-08-31,595
"634",7,2006-09-01,569
"635",7,2006-09-02,341
"636",7,2006-09-03,226
"637",7,2006-09-04,292
"638",7,2006-09-05,463
"639",7,2006-09-06,290
"640",7,2006-09-07,481
"641",7,2006-09-08,233
"642",7,2006-09-09,96
"643",7,2006-09-10,466
"644",7,2006-09-11,433
"645",7,2006-09-12,388
"646",7,2006-09-13,780
"647",7,2006-09-14,520
"648",7,2006-09-15,1293
"649",7,2006-09-16,519
"650",7,2006-09-17,76
"651",7,2006-09-18,415
"652",7,2006-09-19,380
"653",7,2006-09-20,447
"654",7,2006-09-21,812
"655",7,2006-09-22,119
"656",7,2006-09-23,365
"657",7,2006-09-24,208
"658",7,2006-09-25,259
"659",7,2006-09-26,991
"660",7,2006-09-27,597
"661",7,2006-09-28,270
"662",7,2006-09-29,512
"663",7,2006-09-30,106
"664",8,2006-07-01,448
"665",8,2006-07-02,689
"666",8,2006-07-03,951
"667",8,2006-07-04,1236
"668",8,2006-07-05,7456
"669",8,2006-07-06,495
"670",8,2006-07-07,1144
"671",8,2006-07-08,2188
"672",8,2006-07-09,7
"673",8,2006-07-10,212
"674",8,2006-07-11,25
"675",8,2006-07-12,1342
"676",8,2006-07-13,33
"677",8,2006-07-14,55
"678",8,2006-07-15,5586
"679",8,2006-07-16,203
"680",8,2006-07-17,3438
"681",8,2006-07-18,25
"682",8,2006-07-19,9
"683",8,2006-07-20,181
"684",8,2006-07-21,181
"685",8,2006-07-22,202
"686",8,2006-07-23,4748
"687",8,2006-07-24,2621
"688",8,2006-07-25,459
"689",8,2006-07-26,689
"690",8,2006-07-27,641
"691",8,2006-07-28,196
"692",8,2006-07-29,250
"693",8,2006-07-30,580
"694",8,2006-07-31,2628
"695",8,2006-08-01,2500
"696",8,2006-08-02,126
"697",8,2006-08-03,305
"698",8,2006-08-04,122
"699",8,2006-08-05,274
"700",8,2006-08-06,122
"701",8,2006-08-07,526
"702",8,2006-08-08,768
"703",8,2006-08-09,2892
"704",8,2006-08-10,301
"705",8,2006-08-11,2466
"706",8,2006-08-12,354
"707",8,2006-08-13,18
"708",8,2006-08-14,1216
"709",8,2006-08-15,19
"710",8,2006-08-16,14
"711",8,2006-08-17,223
"712",8,2006-08-18,8
"713",8,2006-08-19,520
"714",8,2006-08-20,516
"715",8,2006-08-21,2046
"716",8,2006-08-22,2447
"717",8,2006-08-23,414
"718",8,2006-08-24,1925
"719",8,2006-08-25,470
"720",8,2006-08-26,3052
"721",8,2006-08-27,1250
"722",8,2006-08-28,1103
"723",8,2006-08-29,1929
"724",8,2006-08-30,491
"725",8,2006-08-31,1137
"726",8,2006-09-01,1173
"727",8,2006-09-02,2749
"728",8,2006-09-03,7
"729",8,2006-09-04,1705
"730",8,2006-09-05,383
"731",8,2006-09-06,722
"732",8,2006-09-07,1244
"733",8,2006-09-08,4724
"734",8,2006-09-09,737
"735",8,2006-09-10,17
"736",8,2006-09-11,1132
"737",8,2006-09-12,597
"738",8,2006-09-13,565
"739",8,2006-09-14,550
"740",8,2006-09-15,271
"741",8,2006-09-16,1156
"742",8,2006-09-17,365
"743",8,2006-09-18,610
"744",8,2006-09-19,1803
"745",8,2006-09-20,9573
"746",8,2006-09-21,390
"747",8,2006-09-22,1037
"748",8,2006-09-23,2151
"749",8,2006-09-24,713
"750",8,2006-09-25,685
"751",8,2006-09-26,531
"752",8,2006-09-27,881
"753",8,2006-09-28,452
"754",8,2006-09-29,11426
"755",8,2006-09-30,3382
"756",9,2006-07-01,1463
"757",9,2006-07-02,5
"758",9,2006-07-03,839
"759",9,2006-07-04,6
"760",9,2006-07-05,1910
"761",9,2006-07-06,1680
"762",9,2006-07-07,3136
"763",9,2006-07-08,1758
"764",9,2006-07-09,5
"765",9,2006-07-10,2169
"766",9,2006-07-11,1158
"767",9,2006-07-12,118
"768",9,2006-07-13,5
"769",9,2006-07-14,5
"770",9,2006-07-15,9
"771",9,2006-07-16,6
"772",9,2006-07-17,4
"773",9,2006-07-18,1000
"774",9,2006-07-19,4378
"775",9,2006-07-20,338
"776",9,2006-07-21,3598
"777",9,2006-07-22,6
"778",9,2006-07-23,5
"779",9,2006-07-24,2637
"780",9,2006-07-25,2792
"781",9,2006-07-26,2912
"782",9,2006-07-27,1734
"783",9,2006-07-28,1651
"784",9,2006-07-29,1494
"785",9,2006-07-30,9
"786",9,2006-07-31,2954
"787",9,2006-08-01,1349
"788",9,2006-08-02,3782
"789",9,2006-08-03,1352
"790",9,2006-08-04,1622
"791",9,2006-08-05,939
"792",9,2006-08-06,4
"793",9,2006-08-07,1219
"794",9,2006-08-08,572
"795",9,2006-08-09,2223
"796",9,2006-08-10,4017
"797",9,2006-08-11,3796
"798",9,2006-08-12,2813
"799",9,2006-08-13,9
"800",9,2006-08-14,268
"801",9,2006-08-15,2700
"802",9,2006-08-16,2324
"803",9,2006-08-17,281
"804",9,2006-08-18,4
"805",9,2006-08-19,4
"806",9,2006-08-20,4
"807",9,2006-08-21,8
"808",9,2006-08-22,804
"809",9,2006-08-23,3089
"810",9,2006-08-24,2293
"811",9,2006-08-25,2532
"812",9,2006-08-26,58
"813",9,2006-08-27,4
"814",9,2006-08-28,3756
"815",9,2006-08-29,2863
"816",9,2006-08-30,1956
"817",9,2006-08-31,5
"818",9,2006-09-01,4
"819",9,2006-09-02,4
"820",9,2006-09-03,7
"821",9,2006-09-04,5
"822",9,2006-09-05,5
"823",9,2006-09-06,4
"824",9,2006-09-07,4
"825",9,2006-09-08,7
"826",9,2006-09-09,5
"827",9,2006-09-10,4
"828",9,2006-09-11,3100
"829",9,2006-09-12,2454
"830",9,2006-09-13,1512
"831",9,2006-09-14,2912
"832",9,2006-09-15,6
"833",9,2006-09-16,4
"834",9,2006-09-17,4
"835",9,2006-09-18,4
"836",9,2006-09-19,1884
"837",9,2006-09-20,3095
"838",9,2006-09-21,594
"839",9,2006-09-22,2310
"840",9,2006-09-23,1264
"841",9,2006-09-24,8
"842",9,2006-09-25,724
"843",9,2006-09-26,1330
"844",9,2006-09-27,97
"845",9,2006-09-28,983
"846",9,2006-09-29,5
"847",9,2006-09-30,4
